Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEM,Agnico Eagle Mines Limited Common Stock,$184.04,4.91,2.741%,92202100771.00,Canada,,3783701,Basic Materials,Precious Metals
AER,AerCap Holdings N.V. Ordinary Shares,$135.21,3.61,2.743%,24208503950.00,Netherlands,2006,1019292,Consumer Discretionary,Diversified Commercial Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$19.20,0.93,5.09%,9468235949.00,Canada,,28544608,Basic Materials,Precious Metals
AGI,Alamos Gold Inc. Class A Common Shares,$40.15,1.88,4.912%,16858214000.00,Canada,2015,6079945,Basic Materials,Precious Metals
AGMB,AgomAb Therapeutics NV American Depositary Shares,$12.25,0.06,0.492%,597025543.00,Belgium,2026,107539,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRO,Adecoagro S.A. Common Shares,$13.19,-0.92,-6.52%,1865933256.00,Luxembourg,2011,2279250,Consumer Staples,Farming/Seeds/Milling
AKAN,Akanda Corp. Common Shares,$0.8351,0.0611,7.894%,2008317.00,United Kingdom,2022,84490,Health Care, Medicinal Chemicals and Botanical Products 
AKTX,Akari Therapeutics plc ADS,$0.145,0.0149,11.453%,6638296.00,United Kingdom,,351676,Health Care,Biotechnology: Pharmaceutical Preparations
ALC,Alcon Inc. Ordinary Shares,$74.14,0.49,0.665%,37047758000.00,Switzerland,2019,1359160,Health Care,Ophthalmic Goods
ALKS,Alkermes plc Ordinary Shares,$27.71,-0.44,-1.563%,4617869671.00,Ireland,1991,2320779,Health Care,Biotechnology: Pharmaceutical Preparations
ALM,Almonty Industries Inc. Common Shares,$16.93,0.73,4.506%,4773214251.00,Canada,,8763678,Basic Materials,Other Metals and Minerals
ALV,Autoliv Inc. Common Stock,$104.36,4.02,4.006%,7796371697.00,Sweden,,955862,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,$3.33,-0.20,-5.666%,1005012904.00,Luxembourg,,878029,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,$0.25,-0.0005,-0.20%,75451419.00,Luxembourg,,3140,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMCR,Amcor plc Ordinary Shares,$39.36,1.08,2.821%,18186118358.00,United Kingdom,2019,7656664,Consumer Discretionary,Miscellaneous manufacturing industries
AMRN,Amarin Corporation plc,$14.60,0.11,0.759%,297319130.00,Ireland,,27087,Health Care,Biotechnology: Pharmaceutical Preparations
AMRZ,Amrize Ltd Ordinary Shares,$55.26,2.70,5.137%,30583653686.00,Switzerland,2025,2421157,Industrials,Building Materials
ANY,Sphere 3D Corp. Common Shares,$1.37,-0.04,-2.837%,4620896.00,Canada,,163289,Finance,Finance: Consumer Services
APT,Alpha Pro Tech Ltd. Common Stock,$4.56,0.06,1.333%,46445547.00,Canada,2000,59940,Health Care,Industrial Specialties
APTV,Aptiv PLC Ordinary Shares,$70.98,2.88,4.229%,15128771249.00,United Kingdom,,1887024,Consumer Discretionary,Auto Parts:O.E.M.
ARBK,Argo Blockchain plc American Depositary Shares,$2.94,0.0328,1.128%,39277436.00,United Kingdom,2021,12167,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,$681.85,17.92,2.699%,42317580183.00,Netherlands,2017,391162,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,$136.89,4.54,3.43%,145002648823.00,United Kingdom,2023,7959898,Technology,Semiconductors
ARQQ,Arqit Quantum Inc. Ordinary Shares,$14.38,0.78,5.735%,225073732.00,United Kingdom,,221651,Technology,Computer Software: Prepackaged Software
ARQQW,Arqit Quantum Inc. Warrants,$0.1388,-0.0009,-0.644%,2172478.00,United Kingdom,,2408,Technology,Computer Software: Prepackaged Software
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$5.76,0.41,7.664%,967355418.00,Canada,,7772896,Basic Materials,Metal Mining
ASML,ASML Holding N.V. New York Registry Shares,$1369.62,52.37,3.976%,527875742337.00,Netherlands,1995,1983276,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,$218.06,-3.82,-1.722%,13514793588.00,Denmark,2015,386025,Health Care,Biotechnology: Pharmaceutical Preparations
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$6.96,0.51,7.907%,78482603.00,Luxembourg,,14084,Consumer Discretionary,Other Consumer Services
ASPSW,Altisource Portfolio Solutions S.A. Net Settle Stakeholder Warrants,$0.38,-0.03,-7.317%,4284970.00,Luxembourg,,1493,Consumer Discretionary,Other Consumer Services
ASPSZ,Altisource Portfolio Solutions S.A. Cash Exercise Stakeholder Warrants,$0.2299,0.0175,8.239%,2592407.00,Luxembourg,,3153,Consumer Discretionary,Other Consumer Services
ASTL,Algoma Steel Group Inc. Common Shares,$3.77,0.20,5.602%,395600434.00,Canada,,1394867,Industrials,Steel/Iron Ore
ASTLW,Algoma Steel Group Inc. Warrant,$0.0784,-0.0016,-2.00%,8226810.00,Canada,,4700,Industrials,Steel/Iron Ore
ATAI,AtaiBeckley Inc. Common Stock,$3.39,-0.10,-2.865%,1231297501.00,Germany,2008,5307617,Health Care,Biotechnology: Pharmaceutical Preparations
ATON,AlphaTON Capital Corp. Common Stock,$0.3732,0.0193,5.454%,8745788.00,Canada,,364270,Energy,Oil & Gas Production
ATS,ATS Corporation Common Shares,$30.46,0.30,0.995%,2986902361.00,Canada,2023,174795,Industrials,Industrial Machinery/Components
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,$14.56,0.54,3.852%,1936057454.00,Canada,,2648637,Health Care,Biotechnology: Pharmaceutical Preparations
AUTL,Autolus Therapeutics plc American Depositary Share,$1.40,0.03,2.19%,372600600.00,United Kingdom,2018,1343201,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVX,Avax One Technology Ltd. Common Shares,$0.7076,0.0176,2.551%,65886156.00,Canada,2021,161697,Finance,Finance: Consumer Services
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,$10.13,-0.02,-0.197%,0.00,United Kingdom,2025,182,Finance,Blank Checks
AXINR,Axiom Intelligence Acquisition Corp 1 Right,$0.20,0.00,0.00%,0.00,United Kingdom,2025,255,Finance,Blank Checks
AXINU,Axiom Intelligence Acquisition Corp 1 Units,$10.28,-0.08,-0.772%,0.00,United Kingdom,2025,11100,Finance,Blank Checks
AZ,A2Z Cust2Mate Solutions Corp. Common Shares,$6.48,0.73,12.696%,288651652.00,Canada,,794930,Industrials,Industrial Machinery/Components
AZN,AstraZeneca PLC Ordinary Shares,$184.07,0.47,0.256%,570884221414.00,United Kingdom,2026,2009405,Health Care,Biotechnology: Pharmaceutical Preparations
B,Barrick Mining Corporation Common Shares,$37.69,0.55,1.481%,63144333288.00,Canada,,22573364,Basic Materials,Precious Metals
BB,BlackBerry Limited Common Stock,$3.32,0.10,3.106%,1958800000.00,Canada,,9127154,Technology,Computer Software: Prepackaged Software
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$21.44,0.90,4.382%,122400288928.00,Spain,,3033180,Finance,Commercial Banks
BCE,BCE Inc. Common Stock,$25.76,-0.03,-0.116%,24021865046.00,Canada,,3142385,Telecommunications,Telecommunications Equipment
BCS,Barclays PLC Common Stock,$20.68,0.61,3.039%,71894496384.00,United Kingdom,,10978185,Finance,Commercial Banks
BCTX,BriaCell Therapeutics Corp. Common Shares,$4.25,0.07,1.675%,30814570.00,Canada,,173987,Health Care,Biotechnology: Pharmaceutical Preparations
BCTXL,BriaCell Therapeutics Corp. Warrant expiring 2031,$1.13,0.09,8.654%,8193050.00,Canada,,2086,,
BCTXZ,BriaCell Therapeutics Corp. Warrant expiring 2030,$0.114,0.00,0.00%,826556.00,Canada,,20,Health Care,Biotechnology: Pharmaceutical Preparations
BCYC,Bicycle Therapeutics plc American Depositary Shares,$4.34,-0.01,-0.23%,302528493.00,United Kingdom,2019,831245,Health Care,Biotechnology: Pharmaceutical Preparations
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,$0.684,-0.0166,-2.369%,1739117.00,United Kingdom,,90938,Health Care,Biotechnology: Pharmaceutical Preparations
BEP,Brookfield Renewable Partners L.P. Limited Partnership Units,$30.63,-0.20,-0.649%,20830871657.00,Canada,,2069670,Utilities,Electric Utilities: Central
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,$17.92,0.71,4.126%,,Canada,,12391,,
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,$14.92,0.12,0.811%,4284491953.00,Canada,,20544,Utilities,Electric Utilities: Central
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,$15.59,0.16,1.037%,4476892061.00,Canada,2021,5685,Utilities,Electric Utilities: Central
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,$24.18,0.12,0.499%,6943633741.00,Canada,2024,10822,Utilities,Electric Utilities: Central
BETR,Better Home & Finance Holding Company Class A Common Stock,$28.99,1.68,6.152%,476882369.00,United Kingdom,2021,378446,Finance,Finance: Consumer Services
BETRW,Better Home & Finance Holding Company Warrant,$0.35,0.00,0.00%,5757462.00,United Kingdom,2021,66,Finance,Finance: Consumer Services
BGI,Birks Group Inc. Common Stock,$0.6799,0.0311,4.793%,13322428.00,Canada,,18963,Consumer Discretionary,Consumer Specialties
BGL,Blue Gold Limited Class A Ordinary Shares,$1.19,0.14,13.333%,41825777.00,United Kingdom,,618201,Basic Materials,Metal Mining
BGLWW,Blue Gold Limited Warrant,$0.18,0.0209,13.136%,6326588.00,United Kingdom,,80200,Basic Materials,Metal Mining
BHC,Bausch Health Companies Inc. Common Stock,$5.10,0.09,1.796%,1889868383.00,Canada,,1910704,Health Care,Biotechnology: Pharmaceutical Preparations
BHST,BioHarvest Sciences Inc. Common Stock,$4.31,0.04,0.937%,97639986.00,Canada,,19422,,
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,$38.86,-1.99,-4.871%,5168183990.00,Canada,,2137469,Utilities,Oil & Gas Production
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,$15.82,-0.07,-0.441%,7298461637.00,Canada,2021,10380,Utilities,Oil & Gas Production
BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,$22.67,-0.36,-1.563%,10458667845.00,Canada,2024,64285,Utilities,Oil & Gas Production
BITF,Bitfarms Ltd. Common Stock,$2.31,0.14,6.452%,1392300696.00,Canada,,27813623,Finance,Finance: Consumer Services
BLDP,Ballard Power Systems Inc. Common Shares,$2.51,0.10,4.149%,755292775.00,Canada,,2427800,Energy,Industrial Machinery/Components
BMM,Blue Moon Metals Inc. Common Shares,$4.98,0.06,1.22%,402599445.00,Canada,,77559,,
BMO,Bank Of Montreal Common Stock,$137.12,3.29,2.458%,96658618471.00,Canada,,616465,Finance,Commercial Banks
BN,Brookfield Corporation Class A Limited Voting Shares,$39.45,1.19,3.11%,88254733488.00,Canada,1925,5412940,Real Estate,Building operators
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,$15.13,0.01,0.066%,22812968065.00,Canada,2020,25421,Real Estate,Building operators
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,$14.815,0.025,0.169%,22338012022.00,Canada,2020,10549,Real Estate,Building operators
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$69.26,1.12,1.644%,85361809980.00,Canada,,3182746,Finance,Major Banks
BNTX,BioNTech SE American Depositary Share,$88.41,-0.86,-0.963%,22219673309.00,Germany,2019,1191939,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BP,BP p.l.c. Common Stock,$43.57,-1.21,-2.702%,113661949789.00,United Kingdom,,41427266,Energy,Integrated oil Companies
BRAG,Bragg Gaming Group Inc. Common Shares,$1.99,-0.11,-5.238%,50851053.00,Canada,,58597,Technology,Office Equipment/Supplies/Services
BRLS,Borealis Foods Inc. Class A Common Shares,$1.58,-0.02,-1.25%,33912023.00,Canada,2021,8329,Consumer Staples,Packaged Foods
BRLSW,Borealis Foods Inc. Warrant,$0.0665,0.00,0.00%,1427310.00,Canada,2021,1013,Consumer Staples,Packaged Foods
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,$0.61,-0.02,-3.175%,24917825.00,United Kingdom,2021,2034,Health Care,Biotechnology: Pharmaceutical Preparations
BTE,Baytex Energy Corp Common Shares,$4.10,-0.01,-0.243%,3138960000.00,Canada,2023,25293044,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.08,0.16,4.082%,5469737172.00,Canada,,46045170,Basic Materials,Precious Metals
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$57.92,0.55,0.959%,126372466686.00,United Kingdom,1998,4808953,Health Care, Medicinal Chemicals and Botanical Products 
BTQ,BTQ Technologies Corp. Common Stock,$2.40,0.03,1.266%,336062232.00,Canada,,1926589,,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$68.55,1.07,1.586%,123198059589.00,Belgium,,4042083,Consumer Staples,Beverages (Production/Distribution)
CAE,CAE Inc. Ordinary Shares,$27.28,1.32,5.085%,8778847575.00,Canada,,1306232,Miscellaneous,Industrial Machinery/Components
CAPT,Captivision Inc. Ordinary Shares,$0.5435,0.061,12.642%,17592830.00,United Kingdom,,801151,Miscellaneous,Industrial Machinery/Components
CB,Chubb Limited  Common Stock,$326.37,3.79,1.175%,127335393876.00,Switzerland,,1620828,Finance,Property-Casualty Insurers
CCEC,Capital Clean Energy Carriers Corp. Common Share,$20.15,0.33,1.665%,1183153857.00,Greece,2007,5222,Consumer Discretionary,Marine Transportation
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$92.59,0.97,1.059%,42034233471.00,United Kingdom,,2992249,Consumer Staples,Beverages (Production/Distribution)
CCJ,Cameco Corporation Common Stock,$105.57,4.02,3.959%,45979216487.00,Canada,1996,3932335,Basic Materials,Other Metals and Minerals
CDRO,Codere Online Luxembourg S.A. Ordinary Shares,$8.15,-0.02,-0.245%,371972634.00,Luxembourg,,5168,Consumer Discretionary,Services-Misc. Amusement & Recreation
CDROW,Codere Online Luxembourg S.A. Warrants,$0.6489,-0.019,-2.845%,29616324.00,Luxembourg,,200,Consumer Discretionary,Services-Misc. Amusement & Recreation
CGAU,Centerra Gold Inc. Common Shares,$16.37,0.56,3.542%,3302337812.00,Canada,2021,2601463,Basic Materials,Precious Metals
CGC,Canopy Growth Corporation Common Shares,$0.9665,0.0217,2.297%,398624255.00,Canada,,7879472,Health Care, Medicinal Chemicals and Botanical Products 
CHAI,Core AI Holdings Inc. Common Shares,$1.33,0.10,8.13%,26496823.00,Canada,2020,43398,Telecommunications,Telecommunications Equipment
CIGI,Colliers International Group Inc. Subordinate Voting Shares,$102.00,1.72,1.715%,5212589742.00,Canada,,469134,Finance,Real Estate
CISS,C3is Inc. Common Stock,$0.8416,-0.0065,-0.766%,2264949.00,Greece,,221395,Consumer Discretionary,Marine Transportation
CLB,Core Laboratories Inc. Common Stock,$16.87,0.66,4.072%,785524339.00,Netherlands,2023,367902,Energy,Oilfield Services/Equipment
CLLS,Cellectis S.A. American Depositary Shares,$3.42,0.08,2.395%,248261199.00,France,2015,32729,Health Care,Biotechnology: Pharmaceutical Preparations
CLS,Celestica Inc. Common Stock,$286.98,17.88,6.644%,32993474741.00,Canada,1998,2119051,Technology,Electrical Products
CLVT,Clarivate Plc Ordinary Shares,$2.55,0.06,2.41%,1633781384.00,United Kingdom,2019,6990573,Technology,EDP Services
CM,Canadian Imperial Bank of Commerce Common Stock,$96.64,2.36,2.503%,88960433109.00,Canada,,1693212,Finance,Commercial Banks
CMCL,Caledonia Mining Corporation Plc Common Shares,$22.27,0.83,3.871%,429694840.00,Canada,,306213,Basic Materials,Precious Metals
CMND,Clearmind Medicine Inc. Common Shares,$0.6715,0.0115,1.742%,1007141.00,Canada,,102536,Health Care,Biotechnology: Pharmaceutical Preparations
CMPR,Cimpress plc Ordinary Shares (Ireland),$71.99,2.67,3.852%,1748290972.00,Netherlands,2005,110432,Consumer Discretionary,Publishing
CMPS,COMPASS Pathways Plc American Depository Shares,$5.34,-0.07,-1.294%,512731015.00,United Kingdom,2020,4024806,Health Care,Biotechnology: Pharmaceutical Preparations
CMRE,Costamare Inc. Common Stock $0.0001 par value,$17.34,0.57,3.399%,2091009081.00,Greece,2010,494019,Consumer Discretionary,Marine Transportation
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$26.30,0.07,0.267%,,Greece,,514,,
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$26.56,0.00,0.00%,,Greece,,1261,,
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$27.85,0.17,0.614%,,Greece,,3746,,
CNCK,Coincheck Group N.V. Ordinary Shares,$2.16,0.19,9.645%,293602584.00,Netherlands,,37264,Finance,Finance: Consumer Services
CNH,CNH Industrial N.V. Common Shares,$10.45,0.51,5.131%,12967891698.00,United Kingdom,2013,23321478,Industrials,Construction/Ag Equipment/Trucks
CNI,Canadian National Railway Company Common Stock,$100.69,2.28,2.317%,61561866000.00,Canada,,1753087,Industrials,Railroads
CNQ,Canadian Natural Resources Limited Common Stock,$48.38,-0.64,-1.306%,100919325360.00,Canada,,11702665,Energy,Oil & Gas Production
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$25.94,-1.12,-4.139%,3718657312.00,United Kingdom,2021,1536746,Health Care,Biotechnology: Pharmaceutical Preparations
CP,Canadian Pacific Kansas City Limited Common Shares,$79.46,1.22,1.559%,71580050966.00,Canada,,2325030,Industrials,Railroads
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,$0.9949,0.0689,7.441%,99487660.00,Canada,,151886,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRH,CRH PLC Ordinary Shares,$104.42,3.95,3.932%,69892423489.00,Ireland,,5957676,Industrials,Building Materials
CRON,Cronos Group Inc. Common Share,$2.52,0.13,5.439%,964891033.00,Canada,,1036889,Health Care, Medicinal Chemicals and Botanical Products 
CRSP,CRISPR Therapeutics AG Common Shares,$46.88,0.64,1.384%,4499791427.00,Switzerland,2016,1443350,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A. American Depositary Shares,$17.41,0.41,2.412%,868046687.00,France,2013,225443,Consumer Discretionary,Advertising
CSIQ,Canadian Solar Inc. Common Shares (ON),$13.105,-1.155,-8.10%,877534323.00,Canada,2006,4934079,Technology,Semiconductors
CSTM,Constellium SE Ordinary Shares (France),$23.83,1.45,6.479%,3218712643.00,Netherlands,2013,1892036,Industrials,Metal Fabrications
CTW,CTW Cayman Class A Ordinary Shares,$2.245,0.245,12.25%,140088000.00,Japan,2025,66401,Technology,EDP Services
CVE,Cenovus Energy Inc Common Stock,$24.79,-0.27,-1.077%,46689486000.00,Canada,,15758413,Energy,Oil & Gas Production
DAC,Danaos Corporation Common Stock,$114.09,2.39,2.14%,2076834463.00,Greece,2006,86450,Consumer Discretionary,Marine Transportation
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),$4.67,0.09,1.965%,253709906.00,United Kingdom,2018,142294,Technology,EDP Services
DB,Deutsche Bank AG Common Stock,$29.27,0.80,2.81%,55697100437.00,Germany,,5363432,Finance,Major Banks
DBVT,DBV Technologies S.A. American Depositary Shares,$20.19,1.10,5.762%,682880798.00,France,2014,201399,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DCBO,Docebo Inc. Common Shares,$19.58,0.20,1.032%,563208303.00,Canada,,143892,Technology,Computer Software: Prepackaged Software
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,$8.50,0.145,1.735%,421204240.00,South Korea,2021,11849,Technology,EDP Services
DEFT,Defi Technologies Inc. Common Stock,$0.6332,0.1171,22.689%,244337934.00,Canada,,4903426,Finance,Finance: Consumer Services
DEO,Diageo plc Common Stock,$74.13,0.26,0.352%,41260991139.00,United Kingdom,,1285480,Consumer Staples,Beverages (Production/Distribution)
DEVS,DevvStream Corp. Common Stock,$0.6029,-0.1804,-23.031%,2316126.00,Canada,2024,440304,Finance,Finance/Investors Services
DFSC,DEFSEC Technologies Inc. Common Stock,$2.29,0.06,2.691%,4565404.00,Canada,,29272,Technology,Computer Software: Prepackaged Software
DGXX,Digi Power X Inc. Subordinate Voting Shares,$2.39,0.06,2.575%,149182779.00,Canada,,1795622,Finance,Finance: Consumer Services
DLNG,Dynagas LNG Partners LP Common Units,$4.22,-0.07,-1.632%,154780240.00,Greece,,110943,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$26.73,-0.20,-0.743%,,Greece,,5133,,
DMRA,Damora Therapeutics Inc. Common Stock,$23.05,4.91,27.067%,1389989037.00,Denmark,2020,337913,Health Care,Biotechnology: Pharmaceutical Preparations
DNN,Denison Mines Corp Ordinary Shares (Canada),$3.43,0.10,3.003%,3097166362.00,Canada,,47500359,Basic Materials,Other Metals and Minerals
DOLE,Dole plc Ordinary Shares,$14.43,0.18,1.263%,1373225827.00,Ireland,2021,807875,Consumer Staples,Farming/Seeds/Milling
DOO,BRP Inc. Common Subordinate Voting Shares,$64.90,3.28,5.323%,4760697120.00,Canada,,250706,Consumer Discretionary,Industrial Specialties
DPRO,Draganfly Inc. Common Shares,$6.22,0.56,9.894%,144683495.00,Canada,,1643878,Industrials,Aerospace
DRUG,Bright Minds Biosciences Inc. Common Stock,$72.47,0.85,1.187%,709275558.00,Canada,,176777,Health Care,Biotechnology: Pharmaceutical Preparations
DSGX,Descartes Systems Group Inc. (The) Common Stock,$73.31,0.75,1.034%,6306440920.00,Canada,,523019,Technology,Computer Software: Prepackaged Software
DSX,Diana Shipping inc. common stock,$2.40,0.09,3.896%,296495417.00,Greece,2005,718580,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$26.825,-0.035,-0.13%,,Greece,,2284,,
E,ENI S.p.A. Common Stock,$53.41,-1.13,-2.072%,87712319497.00,Italy,,698023,Energy,Oil & Gas Production
EDAP,EDAP TMS S.A. American Depositary Shares,$3.73,0.12,3.324%,139472481.00,France,1997,27678,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDRY,EuroDry Ltd. Common Shares ,$17.89,-1.46,-7.545%,50569609.00,Greece,,34991,Consumer Discretionary,Marine Transportation
EFXT,Enerflex Ltd Common Shares,$21.05,-0.30,-1.405%,2563927448.00,Canada,2022,1078773,Industrials,Industrial Machinery/Components
EHLD,Euroholdings Ltd. Common Stock ,$7.26,0.05,0.693%,20448625.00,Greece,,2149,Consumer Discretionary,Marine Transportation
ELBM,Electra Battery Materials Corporation Common Stock,$0.581,0.036,6.606%,54411950.00,Canada,,862132,Miscellaneous,Industrial Machinery/Components
ELE,Elemental Royalty Corporation Common Stock,$17.63,0.51,2.979%,1124266740.00,Canada,,403430,Basic Materials,Precious Metals
ELVA,Electrovaya Inc. Common Shares,$7.66,0.42,5.801%,367686228.00,Canada,,393466,,
ENB,Enbridge Inc Common Stock,$54.16,0.70,1.309%,118195362929.00,Canada,,6396387,Energy,Natural Gas Distribution
ENGN,enGene Holdings Inc. Common Stock,$7.31,0.10,1.387%,489692996.00,Canada,,143261,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGNW,enGene Holdings Inc. Warrants,$2.31,0.00,0.00%,154745666.00,Canada,,200,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENGS,Energys Group Limited Ordinary Shares,$1.04,0.01,0.971%,32503553.00,United Kingdom,2025,41567,Industrials,Engineering & Construction
EPRX,Eupraxia Pharmaceuticals Inc. Common Stock,$7.33,0.23,3.239%,450818309.00,Canada,,306361,Health Care,Pharmaceuticals and Biotechnology
EQNR,Equinor ASA,$39.37,-2.23,-5.361%,98435670451.00,Norway,,17726578,Energy,Integrated oil Companies
EQX,Equinox Gold Corp. Common Shares,$12.64,0.65,5.421%,9963883456.00,Canada,,16113567,Basic Materials,Precious Metals
ERIC,Ericsson American Depositary Shares,$11.32,0.14,1.252%,38163701640.00,Sweden,,9311114,Technology,Radio And Television Broadcasting And Communications Equipment
ERO,Ero Copper Corp. Common Shares,$24.76,1.17,4.96%,2581885298.00,Canada,2021,1500294,Basic Materials,Metal Mining
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$66.21,0.71,1.084%,463907781.00,Greece,,74630,Consumer Discretionary,Marine Transportation
ETN,Eaton Corporation PLC Ordinary Shares,$359.74,2.94,0.824%,139573846212.00,Ireland,,2618513,Technology,Industrial Machinery/Components
EVAX,Evaxion A/S American Depositary Share,$3.88,-0.03,-0.767%,32360034.00,Denmark,2021,24203,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
