Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SMXWW,SMX (Security Matters) Public Limited Company Warrant,$0.0469,0.0069,17.25%,135778.00,Ireland,,9339,Technology,Industrial Machinery/Components
SNN,Smith & Nephew SNATS Inc. Common Stock,$31.64,-0.63,-1.952%,13442633996.00,United Kingdom,,964043,Health Care,Industrial Specialties
SNY,Sanofi ADS,$46.78,0.16,0.343%,114089599102.00,France,,3685021,Health Care,Biotechnology: Pharmaceutical Preparations
SOPH,SOPHiA GENETICS SA Ordinary Shares,$4.70,-0.03,-0.634%,336842899.00,Switzerland,2021,83388,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SPOT,Spotify Technology S.A. Ordinary Shares,$472.48,-5.70,-1.192%,97251752357.00,Luxembourg,2018,1023663,Consumer Discretionary,Broadcasting
SQNS,Sequans Communications S.A. American Depositary Shares (each representing one hundred (100) Ordinary Shares),$2.54,-0.38,-13.014%,36404403.00,France,,357166,Technology,Semiconductors
SRAD,Sportradar Group AG Class A Ordinary Shares,$17.15,-0.85,-4.722%,5135737731.00,Switzerland,2021,2831285,Technology,Computer Software: Programming Data Processing
SSM,Sono Group N.V. Ordinary Shares,$6.0089,-0.4911,-7.555%,,Germany,,1241,,
ST,Sensata Technologies Holding plc Ordinary Shares,$34.79,-0.74,-2.083%,5072366136.00,Netherlands,2010,1433380,Industrials,Industrial Machinery/Components
STLA,Stellantis N.V. Common Shares,$6.71,-0.04,-0.593%,19442112245.00,United Kingdom,2014,21095251,Industrials,Auto Manufacturing
STM,STMicroelectronics N.V. Common Stock,$32.54,-0.37,-1.124%,28920515666.00,Switzerland,,8050271,Technology,Semiconductors
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$380.07,1.28,0.338%,82883030575.00,Ireland,2002,2320055,Technology,Electronic Components
SVRN,OceanPal Inc. Common Stock,$0.3501,0.0426,13.854%,38339727.00,Greece,,9597765,Consumer Discretionary,Marine Transportation
SW,Smurfit WestRock plc Ordinary Shares,$39.41,-1.03,-2.547%,20660839696.00,Ireland,2024,7720034,Consumer Discretionary,Containers/Packaging
TE,T1 Energy Inc. Common Stock,$5.76,-0.52,-8.28%,1488876814.00,Luxembourg,2021,12797220,Miscellaneous,Industrial Machinery/Components
TEL,TE Connectivity plc Ordinary Shares,$202.14,-1.06,-0.522%,59314803944.00,Ireland,,1711614,Technology,Electronic Components
TEN,Tsakos Energy Navigation Ltd Common Shares,$38.14,-0.03,-0.079%,1149066778.00,Greece,,433811,Consumer Discretionary,Marine Transportation
TEN^E,Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$26.13,0.03,0.115%,,Greece,,2079,,
TEN^F,Tsakos Energy Navigation Ltd Series F Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$27.0507,0.0007,0.003%,,Greece,,10119,,
TIGO,Millicom International Cellular S.A. Common Stock,$75.33,1.98,2.699%,12620850649.00,Luxembourg,,1260318,Telecommunications,Telecommunications Equipment
TLSA,Tiziana Life Sciences Ltd. Common Shares,$1.24,-0.01,-0.80%,157801322.00,United Kingdom,2018,179834,Health Care,Biotechnology: Pharmaceutical Preparations
TOPS,TOP Ships Inc. Common Stock,$3.2441,-0.1159,-3.449%,15007846.00,Greece,,24500,Consumer Discretionary,Marine Transportation
TORO,Toro Corp. Common Stock,$3.60,-0.14,-3.743%,68737871.00,Cyprus,,16852,Consumer Discretionary,Marine Transportation
TRIB,Trinity Biotech plc American Depositary Shares,$0.601,-0.0125,-2.037%,11356417.00,Ireland,1992,172223,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
TRMD,TORM plc Class A Common Stock,$27.47,0.28,1.03%,2783609461.00,United Kingdom,,638634,Consumer Discretionary,Marine Transportation
TRVG,trivago N.V. American Depositary Shares,$2.74,-0.19,-6.485%,193497907.00,Germany,2016,77755,Technology,EDP Services
TS,Tenaris S.A. American Depositary Shares,$58.29,-0.04,-0.069%,31601113036.00,Luxembourg,,2433211,Industrials,Steel/Iron Ore
TT,Trane Technologies plc,$410.23,3.10,0.761%,90796987388.00,Ireland,,1292903,Industrials,Auto Parts:O.E.M.
TTE,TotalEnergies SE Ordinary Shares,$89.87,-0.08,-0.089%,196083920325.00,France,,1424300,Energy,Oil & Gas Production
TURB,Turbo Energy S.A. American Depositary Shares,$2.50,0.54,27.551%,30042850.00,Spain,2023,8022635,Miscellaneous,Industrial Machinery/Components
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),$38.76,0.13,0.337%,7770385573.00,Luxembourg,,115255,Industrials,Steel/Iron Ore
UBS,UBS Group AG Registered Ordinary Shares,$36.41,-0.85,-2.281%,250340995308.00,Switzerland,2014,2353328,Finance,Major Banks
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$59.37,-0.44,-0.736%,132551266848.00,United Kingdom,2025,4532466,Consumer Discretionary,Package Goods/Cosmetics
USEA,United Maritime Corporation Common Stock,$2.05,-0.04,-1.914%,18130747.00,Greece,,94118,Consumer Discretionary,Marine Transportation
VALN,Valneva SE American Depositary Shares,$6.17,-0.15,-2.373%,534986583.00,France,2021,27643,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VEON,VEON Ltd. ADS,$46.47,-0.25,-0.535%,3437275627.00,Netherlands,,74737,Telecommunications,Telecommunications Equipment
VIVO,VivoPower PLC Ordinary Shares,$2.52,-0.16,-5.97%,42210617.00,United Kingdom,,447024,Utilities,Power Generation
VOD,Vodafone Group Plc American Depositary Shares,$14.49,-0.14,-0.957%,34426803143.00,United Kingdom,,3389785,Telecommunications,Telecommunications Equipment
VRAX,Virax Biolabs Group Limited Ordinary Shares,$0.1593,-0.0139,-8.025%,1182553.00,United Kingdom,2022,349135,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTEX,VTEX Class A Common Shares,$3.83,-0.14,-3.526%,729092802.00,United Kingdom,2021,1220394,Technology,Computer Software: Prepackaged Software
WBX,Wallbox N.V. Class A Ordinary Shares,$2.51,-0.11,-4.198%,40983267.00,Spain,,23310,Consumer Discretionary,Industrial Specialties
WKEY,WISeKey International Holding Ltd American Depositary Shares,$5.71,-0.39,-6.393%,52017837.00,Switzerland,,168777,Technology,EDP Services
WPP,WPP plc American Depositary Shares,$15.33,-0.16,-1.033%,3307608036.00,Ireland,,491718,Consumer Discretionary,Advertising
WSHP,WeShop Holdings Limited Class A Ordinary Shares,$5.81,-1.00,-14.684%,136207798.00,Jersey,,63449,Consumer Discretionary,Other Specialty Stores
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$282.18,-4.62,-1.611%,26678962909.00,United Kingdom,,559421,Finance,Specialty Insurers
XCH,XCHG Limited American Depositary Share,$1.23,0.08,6.957%,73125392.00,Germany,2024,15918,Industrials,Electrical Products
